title,new title,papago title,google title,pororo title
"""[종합] “28일 입대? NO” 이종석, 일단 ‘로맨스는 별책부록’ 끝나고""",28일 입대 NO 이종석 일단 로맨스는 별책부록 끝나고,,28 일 등록 없음 이종석은 한 번 로맨스가 부속서를 종료합니다.,군대에 입대한 이종석의 로맨스가 28일 별도의 책으로 끝난다.
"""'한밤' 서효림, 김수미 며느리 되던 날…특급 하객+미소 만발""",한밤 서효림 김수미 며느리 되던 날 특급 하객 미소 만발,"서 효림과 김 수미가 며느리들은 날, 특별한 손님을 미소를 지었다.","한 달 서시 림 김수이의 며느리,",서효림의 며느리 김수미의 밤에 특별한 손님의 미소가 가득하다.
[종합] “반갑다”vs“불편” 박봄 컴백 엇갈린 반응 (ft.디네이션),반갑다 vs 불편 박봄 컴백 엇갈린 반응,만나서 반가워 불편한 박봄에 대한 반응은 엇갈리게 돌아오와 대비하여.,좋은 대 VS 불편한 봄 컴백,박봄의 컴백이 뒤섞인 반응을 보게 되어 기쁘다.
"""‘예비엄마’ 혜박, 남편 외제차 선물에 활짝...“고마워 서방”""",예비엄마 혜박 남편 외제차 선물에 활짝 고마워 서방,"Mother-to-be, 너는 훨씬 Hyebak 남편의 외제 차의 선물에 감사 드립니다.",예비 엄마 혜크 남편,예비 어머니인 혜박의 남편의 선물에 감사드립니다.
"""[팝인터뷰①]최무성 """"미숙아로 태어났던 아들, '살아남은 아이' 고통 이해 갔다""""""",최무성 미숙아로 태어났던 아들 살아남은 아이 고통 이해 갔다.,조산아인 최무성의 아들이 살아남은 아이의 아픔을 이해했다.,나는 그녀의 시어머니와 함께 태어난 아들의 아들에게 갔다.,최무성의 미성숙한 자녀로 태어난 아들이 살아남은 아이의 아픔을 이해했다.
"""[Oh!쎈 레터] 한채아♥차세찌 결혼축가..윤종신, 소속사 가족 챙긴 대표""",한채아 차세찌 결혼축가 윤종신 소속사 가족 챙긴 대표,"한채, 차세치 윤종신 소속사 대표님.",하나의 선생님 서시 결혼 샤프트 윤종 신승,한채아 차세대 결혼식 기념식의 윤종신 대표 일가 대표
“정준영 단톡방 생각나” 주진모 해킹 유출로 충격·분노에 빠진 대중 [종합],정준영 단톡방 생각나 주진모 해킹 유출로 충격 분노에 빠진 대중,JUNG JUN YOUNG 단톡방이 생각나네요. 해킹 유출에 국민은 충격과 분노에 휩싸였다.,"정 6 월영, 한경,",정준영의 단체 대화방과 대중들은 주진모의 해킹 유출로 충격을 받았다.
"""이지훈, '99억의 여자' 출연…오나라와 부부 호흡[공식]""",이지훈 99억의 여자 출연 오나라와 부부 호흡,이지훈이 99억 여성 게스트 오나라와 협업한다.,이 지 훈 9.9 억 명의 여성이 oara와 부부를 호흡합니다.,이지훈의 99억원 배우 겸 커플의 호흡
"""[종합]""""특히 응원합니다""""..김우빈♥신민아, 5년째 사랑 중→예쁜 공개연애 정석""",특히 응원합니다 김우빈 신민아 5년째 사랑 중 예쁜 공개연애 정석,"저는 특별히 당신을 응원합니다. 김우빈, 신민, 5년 동안 사랑한 예쁜 기준.",특히 김우 빈 신세기 5 년 사랑,나는 특히 응원하고 있다 김우빈이 신민아 정석과의 5년간의 사랑
"""‘냉부해’ 한상진, 47kg 감량→꾸준히 1일 1식→“감동적인 요리 감사”[종합]""",냉부해 한상진 47kg 감량 꾸준히 1일 1식 감동적인 요리 감사,한 상진 47kg을 잃었다.당신은 하루 한끼에 감사 드립니다.,추운 일방적 인 47kg 손실 꾸준히 1 일 인상적인 요리 감사,"한상진의 냉랭하고 차가운 47㎏, 하루 정서적인 요리감사 등이 꾸준히 줄어들었다."
"""[청룡영화상] 이광수x이하늬x박형식x윤아, 인기상 수상…'군복' 눈길""",이광수x이하늬x박형식x윤아 인기상 수상 군복 눈길,"이광수 x 이하늬 x 박형식 x 윤아, 인기상, 군복 시선.",이광 수 - x X 박 박 박 X 윤 윤 윤 윤 윤 윤 윤,인기 군복 수상자인 이광수x 이하넥스 박형식 X윤아
"""'공익신고' 한서희, 탑 이어 비아이와 '마약 의혹'…YG와 '질긴 악연'[종합]""",공익신고 한서희 탑 이어 비아이와 마약 의혹 YG와 질긴 악연,,공개 보고서 한석희 탑 귀아 및 마약 의심스러운 YG,공익신고 배경에는 한서희가 마약 용의자 YG인 비아이와 나쁜 관계를 맺고 있는 최고의 인물인 것으로 알려졌다.
"""[엑's 이슈] 달라진 홍수아, 갈리는 호불호""",달라진 홍수아 갈리는 호불호,홍 Soo-ah의 호불호 바뀌었다.,"뭐,",홍수의 변화
"""[Oh!쎈 레터] '무혐의' 김흥국, 여론도 달라지나..""""가짜 미투 엄하게 처벌""""""",무혐의 김흥국 여론도 달라지나 가짜 미투 엄하게 처벌,김흥국 씨의 여론이 혐의 없이 바뀌었는데 억울한 처벌을 받고 있습니다.,"김흥 구 (Kim Heung-Guk),",김흥국의 혐의에 대한 여론은 다르지만 가짜 미투는 엄중하게 처벌받고 있다.
"""[단독] 허안나, 커플사진 입수 """"내년1월 결혼, 사주선생님 추천""""(인터뷰)""",허안나 커플사진 입수 내년1월 결혼 사주선생님 추천,허안나 커플 사진. 내년 1월 점쟁이가 추천한다.,내년 1 월에 화가 났고 커플 사진을 찍어 라,내년 1월 결혼 선생님의 추천으로 부부 사진을 찍을 수 있다
"""'옥문아들' 이혜성 아나운서 """"노메이크업으로 면접, 1200대1 뚫었다"""" [포인트:톡]""",옥문아들 이혜성 아나운서 노메이크업으로 면접 1200대1 뚫었다.,옥문손 이혜성 아나운서가 민낯으로 1200-1 인터뷰를 돌파했다.,나는 이혜성 노인 노즈이크와 인터뷰에서 1200 개의 인터뷰를 피어 냈습니다.,"옥문의 아들 이혜성 아나운서가 화장이 없는 1,200대 1의 인터뷰를 진행했다."
"""'골목식당' 백종원, 원테이블에 솔루션 """"좋아하는 일 해라"""" (종합)""",골목식당 백종원 원테이블에 솔루션 좋아하는 일 해라,골목식당의 백종원. 당신이 좋아하는 것을 하세요.,Alley Restaurant Baek Jongwon 솔루션을위한 테이블 하나,원테이블 골목식당 백종원에게 최선의 해결책을 다한다.
"""""""90kg 인증""""..몸무게 공개→실검 1위 찍은 女연예인[Oh!쎈 탐구]""",90kg 인증 몸무게 공개 실검 1위 찍은 녀연예인,누가 1일부터 실시간 검색 순위에 90kg 무게를 차지했다 그 여성 연예인.,90kg 인증 체중 공개 여성 연예인,무게 90㎏으로 대중 1위를 차지한 여성 연예인
"""‘아육대’ 측 “츄 머리카락 잡은 무례 범해, 사과문=사칭” 공식 사과(전문)""",아육대 측 츄 머리카락 잡은 무례 범해 사과문 사칭 공식 사과,추의 머리카락을 집는 데 아이돌 스타 육상 선수권 대회 공식 사과다.,머리의 머리의 머리,어린이집에서 추씨의 머리카락에 걸린 무례한 사과를 사칭하는 공식 사과
"""'SKY 캐슬' 김서형 딸 조미녀 """"케이 役 위해 18kg 증량...관심 감사"""" [★SHOT!]""",SKY 캐슬 김서형 딸 조미녀 케이 역 위해 18kg 증량 관심 감사,김서형 딸 조미녀 케이를 위해 18kg을 쪄주셔서 감사합니다.,스카이 캐슬 김시성 딸 갯벌 딸 케어,김서형 SKY 캐슬의 딸 김미녀에 대한 관심이 18㎏ 증가했다.
"""[종합] '라디오쇼' 알베르토, ♥ 찾아 한국에 온 능력자(ft. 축구사랑)""",라디오쇼 알베르토 찾아 한국에 온 능력자,"한국으로 알베르토, 라디오 프로그램을 찾을에 온 재능 있는 사람이다.",라디오 쇼 알베르토,알베르토에 한국에 온 라디오 쇼 경쟁자
"""""""남편 고등학생 때 임신""""…홍영기, '동치미' 출연 예고만으로 화제 [종합]""",남편 고등학생 때 임신 홍영기 동치미 출연 예고만으로 화제,남편이 고등학교에 다닐 때 임신한 홍영기와 동치미가 나타났다.,"남편의 고등학생이 임신 한 경우,",남편 고등학교 임신 학생 홍영기가 화제를 모았다.
"""임요환 아내 김가연, 새 차 인증샷..""""대표님 짱짱맨, 죽어라 일할 것""""""",임요환 아내 김가연 새 차 인증샷 대표님 짱짱맨 죽어라 일할 것,임요환의 아내 김가연의 신차 인증샷. 대표님이 최고예요. 열심히 일하다,임 유순 아내 김영연연 새로운 자동차 인증 샷 대표,차량 인증샷 신임 대표이사인 임요환 부인 김가연 씨가 숨진다.
"""[엑's 이슈] '나혼자' 유노윤호·최강창민, 치명적 매력에 '입덕' 군단 생성""",나혼자 유노윤호 최강창민 치명적 매력에 입덕 군단 생성,난 유일한 유노 윤호와 MAX를 좋아한다 최강 창민의 치명적인 매력 중이 된 팬이다.,치명적인 매력에 유노 호 Choi Kang Chang 최소 세대를 괴롭혔다.,윤호의 가장 강력한 창작자만의 치명적인 매력을 위해 독립군을 만들어낸 것
"""휘성, 에이미 '프로포폴 공범' 지목…케이윌까지 '대략난감'[종합]""",휘성 에이미 프로포폴 공범 지목 케이윌까지 대략난감,"휘성, Amy는 프로포폴은 숨을 느리게 하고, K.will은 공범자여서 어려움에 처해 있다.",WheSung Amy Propolk Proverbs,휘성 에이미 프로포폴의 공범으로 지목된 KWI는 약간 문제가 있다.
"""'핸섬 타이거즈', 감격의 첫 승…손지창, 진심 조언 """"또 한 번의 기적 만들길"""" [종합]""",핸섬 타이거즈 감격의 첫 승 손지창 진심 조언 또 한 번의 기적 만들길,,잘 생긴 호랑이의 황제의 첫 번째 글쓰기 통합 성실한 조언 다른 기적,손팀 타이거즈의 첫 우승자인 손지창이 또 다른 기적을 만든다.
"""[종합] '미스터트롯' 임영웅, 본선 3차 眞 등극…노지훈→고재근 탈락""",미스터트롯 임영웅 본선 3차 진 등극 노지훈 고재근 탈락,노지훈과 고재근이 미스터 트로트 임영웅 결승 3라운드에서 탈락한다.,Mistor Lim Young-Woong Fine.,"임영웅 선수의 결승에서 세 번째 팀인 고재근, 노지훈 선수가 탈락했다."
"""[공식입장] 티아라, 前소속사와 맞선다..""""상표출원 거절사유 제출""""""",티아라 전소속사와 맞선다 상표출원 거절사유 제출,티아라 전 소속사에 맞서 상표권 신청 거부 사유 제출.,티아라 다른 일,티아라 전속기관에 대한 상표 신청 거부 신청
"""[종합] 강지환 긴급체포…경찰 “성폭행 혐의, 구속영장도 검토”""",강지환 긴급체포 경찰 성폭행 혐의 구속영장도 검토,강지환의 긴급체포와 경찰 성폭행 등에 대한 구속영장도 검토된다.,강 지방 응급 체포 경찰 성폭력,강지환의 성폭행 의혹에 대한 구속영장
"""[단독]‘임신중’ 최지우 ‘사랑의 불시착’ 특별출연 확정, “내일(20일) 촬영”""",임신중 최지우 사랑의 불시착 특별출연 확정 내일 촬영,최우의 임신 중 '크래쉬 랜딩 온 유' 특별 출연이 내일 확정된다.,"임신 중, 최 지우,",내일 임신 중 최지우의 사랑 특별한 모습
"""서유리, 성형설 직접 일축 """"안병증 완치, 사진 잘 나와...성형 안했다"""" [전문]""",서유리 성형설 직접 일축 안병증 완치 사진 잘 나와 성형 안했다.,서유리는 외눈병 치료제 사진이 잘 나와서 성형수술을 하지 않았다.,SEO YOO-RI 몰딩은 직접적인 일축 사건입니다.,서유리의 성형수술은 안질환 사진이 완전히 찍혀 성형 수술이 아니었다.
"""빅토리아♥데이비드 베컴, 이렇게 행복한 여섯 식구…""""귀염둥이 막내딸""""""",빅토리아 데이비드 베컴 이렇게 행복한 여섯 식구 귀염둥이 막내딸,빅토리아 데이비드 베컴이다.6가족은 모두 귀여운 막내 딸이다.,빅토리아 데이비드 베컴은 너무 행복한 6 가족입니다,빅토리아 데이비드 베컴 등 6세대 귀여운 딸
"""[엑's 이슈] """"화사라 소화 가능""""VS""""선정적""""…'2018 MAMA' 의상 두고 설전""",화사라 소화 가능 VS 선정적 2018 MAMA 의상 두고 설전,화사는 파격적인 2018 MAMA 의상을 둘러싼 VS 설전을 소화할 수 있다.,Hwara Die Die Selectuishable VS 2018 엄마 의상 복용을 선택했습니다,화사라에서 소화가 가능한 VS 선택형 2018 MAMA 의상에 대한 설전
"""""""인형 닮아가네""""…이하이, 볼살 통통 근황 '깜짝'""",인형 닮아가네 이하이 볼살 통통 근황 깜짝,당신은 인형처럼 보이기 시작했습니다.이하이의 통통한 뺨.,인형은 인형과 유사합니다.,인형처럼 보이는데 깜짝 놀랄 정도다
"""[SC이슈]""""빚투·잠적→결별설"""" `마닷♥` 홍수현, 공개열애의 나쁜예 [종합]""",빚투 잠적 결별설 마닷 홍수현 공개열애의 나쁜예,빚더미에 오르내리기는커녕 홍수현의 공개 열애 악재다.,Debugo 추출 교차 Maeda Hong.,잠재적 이별설인 매트 홍수현의 공공연애 사건의 나쁜 예
"""[단독] 장미여관 3인 """"육중완과 불화 사실...수익 N분의1 아냐"""" (인터뷰)""",장미여관 3인 육중완과 불화 사실 수익 N분의1 아냐,장미여관의 세 멤버 육중완과의 불화. 그것은 이익의 1/n이 아니다.,"로즈 인 (Rose Inn)의 장미에있는 3 인,",3인조 뷰티이닝 수익의 3분의 1이 아니다.
"""""""저 아니에요""""…최은경, 신종 코로나 확진자 루머→직접 해명 (전문)[종합]""",저 아니에요 최은경 신종 코로나 확진자 루머 직접 해명,,그것은 나 아니다.,내가 아니야. 최은경의 새로운 코로나 확인설
"""'뉴스데스크' 승리, 성매수·추가 성접대 →최종훈 유치장 대기…논란의 절친 [종합]""",뉴스데스크 승리 성매수 추가 성접대 최종훈 유치장 대기 논란의 절친,뉴스데스크 승리. 최종훈 구치소 기다림 논란에 휩싸인 절친,뉴스 데스크 승리 Succus 딱정벌레 최종훈의 추가 전투,뉴스 데스크에서 승리한 추가 성접대 사건의 인질인 최종훈은 분위기를 둘러싼 논란의 절친이다.
"""[SC리뷰]""""세얼간이 해체위기""""…'나혼자' 이시언VS기안84 갈등 폭발""",세얼간이 해체위기 나혼자 이시언VS기안84 갈등 폭발,"해체 위기에 몰린 세 멍청이, 홀로 이시언 VS 기안84 갈등이 폭발했다.",세 가지 분해 위기 Wisheri 대 Giane 84 갈등 폭발,3자 해체 위기를 계기로 이시언 VS 기안 84 갈등이 스스로 폭발했다.
"""양지원, 유니티 활동 종료→배우 복귀..新 첫사랑 될까""",양지원 유니티 활동 종료 배우 복귀 신 첫사랑 될까,양지원이 UNI 이후 첫사랑이 될까요?T가 배우로 컴백한다고요?,양 Support Unity Activity 종료 배우 새로운 첫사랑,양지원 유나이티드로 돌아가는 첫사랑이 될까요?
‘전지적 참견 시점’ 유병재X김수용 두 마디 대화 끝 “평온한 식사” (종합),전지적 참견 시점 유병재X김수용 두 마디 대화 끝 평온한 식사,전지적 참견 시점. 유병재X김수용의 대화는 평화로운 식사로 끝이 난다.,배터리 배열 Verboys x 김수양,전지적 참견 시점에서 유병재와 김수용의 대화 두 마디가 끝난 뒤 차분한 식사
"""[종합] '복면가왕' 동막골소녀, 85대 가왕 등극… 열대세=린""",복면가왕 동막골소녀 85대 가왕 등극 열대세 린,"왕 마스크 가수의, 동막골 소녀.열대 Serin이 제85회 왕 가수의.",마스크 된 해안 대학 소녀의 85 화환,마스크 가수 동막골 소녀의 제85대 왕
"""[HI★뭐하세요] 이혜영, 엄마.언니 사진 공개…""""인중 긴 모녀""""""",이혜영 엄마 언니 사진 공개 인중 긴 모녀,혜영이 엄마 언니 사진. 인중이 긴 모녀.,이혜숙 젊은 엄마 누이 사진,이혜영의 어머니와 여동생의 장모와 딸
"""[엑's 리뷰] """"♥장현승""""...신수지, 사랑 앞에 당당한 쿨한 언니""",장현승 신수지 사랑 앞에 당당한 쿨한 언니,장현승. 신수지의 사랑 앞에 당당한 쿨한 언니.,장현승의 새로운 저수지,신수지 장현승에 대한 사랑 앞에서 시원한 여동생
"""[종합]""""23년 만에 주연""""…'천화' 이일화, 덕선 엄마의 과감한 변신""",23년 만에 주연 천화 이일화 덕선 엄마의 과감한 변신,배우 이일화와 덕선엄마의 과감한 변신이 23년 만이다.,멤브레인의 대담한 어머니의 매일의 대담한 변환,주연 배우 이일화 덕선의 어머니가 23년 만에 대담한 변신
"""[종합] 故 조민기 아내, 생일 축하 게시글에 갑론을박…""""가족""""VS""""경솔""""""",고 조민기 아내 생일 축하 게시글에 갑론을박 가족 VS 경솔,고 민 기의 아내의 생일 축하 글입니다.박 씨 일가frivolousal VS.,아내의 생일 축하해,"고(故) 조민기 아내의 생일 게시글, 가족 VS경솔 멤버"
'슈돌' 뉴이스트 민현·렌 등장…라임이의 뜨거운 시선 '폭소',슈돌 뉴이스트 민현 렌 등장 라임이의 뜨거운 시선 폭소,"슈퍼 주니어, NU'EST, 민현, 렌. 라임의 뜨거운 눈빛 웃음.",Schlord New East Min Hyun Ren은 석회의 뜨거운 시선을 나타 냈습니다.,슈돌 뉴스트 민현 렌에 출연한 라이메이의 뜨거운 웃음이 이어졌다.
"""[종합] '아내의 맛' 정준호♥이하정, 8년 만에 영화 데이트 '눈물'""",아내의 맛 정준호 이하정 8년 만에 영화 데이트 눈물,"정 씨 Joonho과 이 대통령은 하정""취향 아내의"".영화를 날짜에서 8년 후에 눈물",8 년 안에 영화 데이트 데이트,아내의 취향인 정준호 이하정이 8년 만에 영화 데이트 눈물을 흘린다.
"""[단독] '동상이몽2' PD """"이윤지 특별한 오빠 고백..시청자 응원 감사""""(인터뷰)""",동상이몽2 PD 이윤지 특별한 오빠 고백 시청자 응원 감사,동상이몽2 이윤지 PD님 응원 감사합니다.,동상 이몽 2 PD Lee Yun Ji 특별한 형제 자백,이윤지 PD에 대한 특별한 형의 고백
"""'골목식당' 백종원, 원테이블에 솔루션 """"좋아하는 일 해라"""" (종합)""",골목식당 백종원 원테이블에 솔루션 좋아하는 일 해라,백씨는 종원이 골목 식당에서.당신이 좋아하는 것을 하세요.,Alley Restaurant Baek Jongwon 솔루션을위한 테이블 하나,원테이블 골목식당 백종원에게 최선의 해결책을 다한다.
"""[종합] 고은아, 여배우들 텃세 폭로 “지능적 이간질+드레스도 뺏겨”""",고은아 여배우들 텃세 폭로 지능적 이간질 드레스도 뺏겨,"그녀의 배의 Eunah의 공개다.그녀는, 그녀에게 너무 똑똑한 드레스를 잃었다.",Goguchi 여배우는 지능적인 자부심을 확장합니다,고은아의 배우의 집중적이고 지능적이며 기괴한 드레스도 빼앗긴다.
"""'로맨스는 별책부록' 이종석, 이나영에 키스 했다 [종합]""",로맨스는 별책부록 이종석 이나영에 키스 했다.,로맨스는 별도의 책에서 이종석과 이나영에게 키스를 했다.,Romance는 이건 신영의 이종석이 키스했습니다.,로맨스는 이종석 이나영에게 별도의 책으로 키스했다.
"""'그녀말' 한은정, 소름 끼치는 포커페이스 연기 '악녀 시동'""",그녀말 한은정 소름 끼치는 포커페이스 연기 악녀 시동,"나는 그녀의 말이 닭살이 돋는 준다.포커 얼굴 연기, 사악한 소녀이다.","그녀가 말했다,",그녀의 괴팍한 포커 활동가 한은정
"""故이왕표 유언 불구하고, 이동우 안구기증 못받는 안타까움""",고이왕표 유언 불구하고 이동우 안구기증 못받는 안타까움,왕표의 뜻에도 불구하고 이동우가 눈기증을 받지 못해 아쉽다.,"Goyou의 간증에도 불구하고,",고이왕의 뜻에도 불구하고 이동우의 안목 기부가 부족했다.
"""차예련 “25kg 감량, ‘아줌마 됐다’는 말 듣기 싫었다”(인터뷰)""",차예련 25kg 감량 아줌마 됐다 는 말 듣기 싫었다.,차예련이 25kg을 감량했다는 얘기는 듣고 싶지 않았다.,나는 25kg의 손실 이었음을 듣고 싶지 않았습니다.,차예련에게 25㎏ 줄였다는 말을 듣고 싶지 않았다.
"""'열혈사제' 이명우 감독 """"시즌2? 열어놓고 논의 중..백상 후보도 응원""""""",열혈사제 이명우 감독 시즌2 열어놓고 논의 중 백상 후보도 응원,열정적인 이명우 신부가 시즌2에 대해 논의하고 있다. 백상상 후보 지원.,"Philemodian Lee Myung-Woo Seight 2,",이명우 열정적인 제2시즌 감독도 토론 도중 백상을 응원하는 모습을 보였다.
"""박민영이 쐈다..'그녀의 사생활' 팀, 첫방 본방사수 회식 '이게 바로 입덕'""",박민영이 쐈다 그녀의 사생활 팀 첫방 본방사수 회식 이게 바로 입덕,"박민영 씨가 샀어요. ""사생활"" 팀의 첫 번째 에피소드를 보세요. 이것이 당신을 팬으로 만드는 것입니다.",Park Min-Young 그녀의 여자의 삶 팀을 쐈어.,박민영이 슛했다. 이번이 그녀의 민간팀이 본사를 처음 방문한 입구다.
‘알함브라 궁전의 추억’ 현빈의 선택은 옳았다…“인생 캐릭터 경신할 것”,알함브라 궁전의 추억 현빈의 선택은 옳았다 인생 캐릭터 경신할 것,알함브라 궁전의 추억. 현빈이의 선택이 맞았어요. 인생 캐릭터를 깨기 위해서.,Alhambra 궁전 추억의 추억 현빈의 선택은 생명의 성격을 새롭게하는 것이 옳습니다.,"알함브라스 궁전의 기억인 현빈의 선택이 맞았고, 인생의 새로운 캐릭터가 교체될 예정이다."
"""배우 황찬호, 26일 심장마비로 세상 떠나…애도 메시지 이어져""",배우 황찬호 26일 심장마비로 세상 떠나 애도 메시지 이어져,배우 황찬호가 26일 심장마비로 별세한 가운데 애도 메시지가 이어지고 있다.,배우 황 찬 Ho 26th Heart Pabby는 세계를 떠난다.,배우 황찬호가 26일 심장마비로 별세해 애도를 이어가고 있다.
[배틀트립] “맛있어? 그럼 내가 다 사줄게” 아이 멘트에 감동하는 ‘모델’ 이현이-‘미스코리아’ 박가원,맛있어 그럼 내가 다 사줄게 아이 멘트에 감동하는 모델 이현이 미스코리아 박가원,그리고 나서 나는 아이에게 픽업은 미스 코리아 bakkawon 모든 맛있는 이현 모델 살게요.,이 맛있어요.,맛있다 그러던 중 미스코리아 박가원이 아이엠에서 감동받는 모델이다. 모든 것을 사기 위해서
[N현장] '벌써 18세' 故 최진실 아들 최환희와 10대 대표의 '애들생각'(종합),벌써 18세 고 최진실 아들 최환희와 10대 대표의 애들생각,18살 최진실의 아들 최환희와 10대 CEO를 생각하면.,나는 이미 18 일과 최진 실리콘에 대해 생각해 왔습니다.,최환희와 18세 최진실 10대 대표의 생각이 담겼다.
"""'황후의 품격' 신성록, 이엘리야 거짓말 눈치챘다…장나라X최진혁 포옹에 '충격'(종합)""",황후의 품격 신성록 이엘리야 거짓말 눈치챘다 장나라X최진혁 포옹에 충격,신성록 황후와 엘리가 거짓말을 알아챘다. 장나라X최진혁의 포옹에 충격을 받았다.,Empress 's Chattan Dynasty Lee Eell의 거짓말.,황후의 캐릭터 신성록이 거짓말쟁이였다. 장나라 최진혁의 포옹의 충격
"""‘골든디스크’ 방탄소년단, 2년연속 음반대상 ‘4관왕’..""""팀이름 자랑스러워""""[종합]""",골든디스크 방탄소년단 2년연속 음반대상 4관왕 팀이름 자랑스러워,우리는 골든디스크에서 2년 연속 4관왕을 차지한 팀이 자랑스럽습니다.,황금 디스크 방탄 소년 2 년 연속,2년 연속 4개 금디스크 방탄소년단 팀의 이름이 자랑스럽다.
"""故 최진실 딸 최준희, 엄마 11주기에 심경 고백 “너무나도 위태롭다”""",고 최진실 딸 최준희 엄마 11주기에 심경 고백 너무나도 위태롭다.,故 최진실 딸 최준희의 어머니가 11주기를 맞아 자신의 심경을 고백할 위기에 처했다.,최진 - 실의 딸 최준희의 어머니의 11 사이클은 너무 굉장합니다.,고(故) 최진실의 딸 최준희의 어머니 11주년이 지나치게 위험하다는 것은 자신의 감정을 고백하기에는 너무 위험한 일이다.
"""박한별 남편 실명공개 유인석, 경찰총장과 직접적 관계 확인""",박한별 남편 실명공개 유인석 경찰총장과 직접적 관계 확인,박한별 남편의 실명을 폭로하는 유인석 경찰서장과의 직접적인 인연을 확인한다.,경찰과 직접적인 관계를 확인하십시오,박한별 남편의 실명인 유인석 경찰청장과의 직접적인 관계
"""[★해시태그] """"건강하게 돌아오겠다""""던 지연, 의미심장 사진 게재""",건강하게 돌아오겠다 던 지연 의미심장 사진 게재,그녀가 건강한 오기를 원해지연의 심장의 사진을 게시하는 건.,나는 심장 사진의 건강한 지연된 의미로 돌아올 것입니다.,건강하게 될 의미 있는 마음이 느껴지는 사진
"""'너노들' 연우진♥김세정, 달콤한 키스…김시후 죽음의 진실은(종합)""",너노들 연우진 김세정 달콤한 키스 김시후 죽음의 진실은,"연우진, 김세정, 달콤한 키스, 김시후, 죽음의 진실...",비 장로,배우들의 달콤한 키스인 김시후의 죽음의 진실
"""[단독] """"현실은, The 달달""""…이준♥정소민, 리얼 커플상""",현실은 The 달달 이준 정소민 리얼 커플상,"실제로 더달, 이준, 정소민, 진짜 커플상.",현실은 달입니다,현실은 문 이준정 소민 리얼상이다.
"""'캠핑클럽' 이효리 """"핑클→솔로 후 멤버들 신경 못 써 미안"""" 눈물""",캠핑클럽 이효리 핑클 솔로 후 멤버들 신경 못 써 미안 눈물,"Lee Hyori 핑케이 다음에.엘 솔로, 멤버들 신경 안 써요. 미안해요, 눈물.",캠핑 클럽 이효익 핑크 솔로 회원 신경,캠핑클럽 이효리 핑크를 단독으로 한 뒤 멤버들을 신경 쓰지 못해 죄송합니다.
"""""""국대 아내위해 귀화 결심"""" '동상2' 강남, ♥이상화家 감동시킨 '1등사위' [종합]""",국대 아내위해 귀화 결심 동상2 강남 이상화가 감동시킨 1등사위,"이상화가 강남에서 감동한 첫 사위, 아내를 위한 귀화 결정의 두 번째 동상이다.",두 강남 이상에 감명받은 첫 번째 사람,아내를 위해 국립대로 돌아가기로 한 강남2의 이상화에 감동을 받은 1급 사위
"""한혜진, 전현무와 결별 후 밝은 모습 """"인생술집, 고마워요""""""",한혜진 전현무와 결별 후 밝은 모습 인생술집 고마워요,"한혜진, 전현무와 헤어진 후, 인생술집 감사합니다.",한혜진의 획기적인과 붕괴 후에 당신의 삶에 감사드립니다.,한혜진 전현무와 헤어진 뒤 밝은 라이프바에 감사드립니다.
"""[Oh!쎈 이슈] 홍상수♥김민희, 3년째 연인 혹은 불륜→이혼 소송→결혼할까(종합)""",홍상수 김민희 3년째 연인 혹은 불륜 이혼 소송 결혼할까,"Hong Sangsoo랑 Kim Sangsoo, Kim Minhee. 그들은 3년 동안 커플과 결혼하나요 아니면 불륜 이혼소송을 하나요?",홍상수 김민희는 3 년 연인이나 사건 이혼 소송이었습니다.,홍상수가 3년 동안 김민희와 결혼하거나 불륜 이혼 소송을 할 것인가?
"""""""결혼식 대신 연주회""""…하림, 영화 같은 결혼 발표→쏟아지는 응원 (종합)[Oh!쎈 이슈]""",결혼식 대신 연주회 하림 영화 같은 결혼 발표 쏟아지는 응원,"결혼식, 콘서트 대신 영화 같은 하림의 결혼 발표가 쏟아지고 있다.",결혼식 대신 콘서트 발표,결혼식 대신 콘서트에서 하림 같은 결혼 발표의 응원
"""'너를 만났다' '나연이 엄마' 눈물, 시청자도 울었다…PD """"뜨거운 반응 감사""""""",너를 만났다 나연이 엄마 눈물 시청자도 울었다 PD 뜨거운 반응 감사,"난 널 만났다.NAYEON의 엄마도 울었다.PD, 당신의 열광적인 반응에 감사합니다.",나는 너를 만났어. Nae na na 엄마 눈물은 울부 짖는 소리를 낼 수있다. 뜨거운 반응 감사,당신을 만났어요. 나연은 또 어머니의 눈물에 울음을 터뜨렸다. 뜨거운 PD 감사
"""[종합] '숨바꼭질' 송창의, 엄현경=진짜 상속녀 알았다 '충격'""",숨바꼭질 송창의 엄현경 진짜 상속녀 알았다 충격,숨바꼭질 송창의 엄현경. 난 진짜 상속녀를 알아 충격,숨기기와 나는 Songhang의 진정한 상속을 알고있었습니다,숨겨진 송창의 엄현경의 진짜 후계자를 알고 있었다.
"""신비주의 가수 'Y군', '구라형'과 함께 출근""",신비주의 가수 Y군 구라형 과 함께 출근,신비한 가수 Y구라로 통근하다..,신비한 가수 Y 군대,신비로운 가수 이건 구라와 출퇴근
